"Year","Data_type","Source","Aeo_year","Aeo_case"
2046,"Electricity Generation","Distributed Generation",2020,"REF"
2047,"Electricity Generation","Distributed Generation",2020,"REF"
2048,"Electricity Generation","Distributed Generation",2020,"REF"
2049,"Electricity Generation","Distributed Generation",2020,"REF"
2050,"Electricity Generation","Distributed Generation",2020,"REF"
2019,"Electricity Generation","Natural Gas",2020,"REF"
2020,"Electricity Generation","Natural Gas",2020,"REF"
2021,"Electricity Generation","Natural Gas",2020,"REF"
2022,"Electricity Generation","Natural Gas",2020,"REF"
2023,"Electricity Generation","Natural Gas",2020,"REF"
2024,"Electricity Generation","Natural Gas",2020,"REF"
2025,"Electricity Generation","Natural Gas",2020,"REF"
2026,"Electricity Generation","Natural Gas",2020,"REF"
2027,"Electricity Generation","Natural Gas",2020,"REF"
2028,"Electricity Generation","Natural Gas",2020,"REF"
2029,"Electricity Generation","Natural Gas",2020,"REF"
2030,"Electricity Generation","Natural Gas",2020,"REF"
2031,"Electricity Generation","Natural Gas",2020,"REF"
2032,"Electricity Generation","Natural Gas",2020,"REF"
2033,"Electricity Generation","Natural Gas",2020,"REF"
2034,"Electricity Generation","Natural Gas",2020,"REF"
2035,"Electricity Generation","Natural Gas",2020,"REF"
2036,"Electricity Generation","Natural Gas",2020,"REF"
2037,"Electricity Generation","Natural Gas",2020,"REF"
2038,"Electricity Generation","Natural Gas",2020,"REF"
2039,"Electricity Generation","Natural Gas",2020,"REF"
2040,"Electricity Generation","Natural Gas",2020,"REF"
2041,"Electricity Generation","Natural Gas",2020,"REF"
2042,"Electricity Generation","Natural Gas",2020,"REF"
2043,"Electricity Generation","Natural Gas",2020,"REF"
2044,"Electricity Generation","Natural Gas",2020,"REF"
2045,"Electricity Generation","Natural Gas",2020,"REF"
2046,"Electricity Generation","Natural Gas",2020,"REF"
2047,"Electricity Generation","Natural Gas",2020,"REF"
2048,"Electricity Generation","Natural Gas",2020,"REF"
2049,"Electricity Generation","Natural Gas",2020,"REF"
2050,"Electricity Generation","Natural Gas",2020,"REF"
2019,"Electricity Generation","Nuclear",2020,"REF"
2020,"Electricity Generation","Nuclear",2020,"REF"
2021,"Electricity Generation","Nuclear",2020,"REF"
2022,"Electricity Generation","Nuclear",2020,"REF"
2023,"Electricity Generation","Nuclear",2020,"REF"
2024,"Electricity Generation","Nuclear",2020,"REF"
2025,"Electricity Generation","Nuclear",2020,"REF"
2026,"Electricity Generation","Nuclear",2020,"REF"
2027,"Electricity Generation","Nuclear",2020,"REF"
2028,"Electricity Generation","Nuclear",2020,"REF"
2029,"Electricity Generation","Nuclear",2020,"REF"
2030,"Electricity Generation","Nuclear",2020,"REF"
2031,"Electricity Generation","Nuclear",2020,"REF"
2032,"Electricity Generation","Nuclear",2020,"REF"
2033,"Electricity Generation","Nuclear",2020,"REF"
2034,"Electricity Generation","Nuclear",2020,"REF"
2035,"Electricity Generation","Nuclear",2020,"REF"
2036,"Electricity Generation","Nuclear",2020,"REF"
2037,"Electricity Generation","Nuclear",2020,"REF"
2038,"Electricity Generation","Nuclear",2020,"REF"
2039,"Electricity Generation","Nuclear",2020,"REF"
2040,"Electricity Generation","Nuclear",2020,"REF"
2041,"Electricity Generation","Nuclear",2020,"REF"
2042,"Electricity Generation","Nuclear",2020,"REF"
2043,"Electricity Generation","Nuclear",2020,"REF"
2044,"Electricity Generation","Nuclear",2020,"REF"
2045,"Electricity Generation","Nuclear",2020,"REF"
2046,"Electricity Generation","Nuclear",2020,"REF"
2047,"Electricity Generation","Nuclear",2020,"REF"
2048,"Electricity Generation","Nuclear",2020,"REF"
2049,"Electricity Generation","Nuclear",2020,"REF"
2050,"Electricity Generation","Nuclear",2020,"REF"
2019,"Electricity Generation","Petroleum",2020,"REF"
2020,"Electricity Generation","Petroleum",2020,"REF"
2021,"Electricity Generation","Petroleum",2020,"REF"
2022,"Electricity Generation","Petroleum",2020,"REF"
2023,"Electricity Generation","Petroleum",2020,"REF"
2024,"Electricity Generation","Petroleum",2020,"REF"
2025,"Electricity Generation","Petroleum",2020,"REF"
2026,"Electricity Generation","Petroleum",2020,"REF"
2027,"Electricity Generation","Petroleum",2020,"REF"
2028,"Electricity Generation","Petroleum",2020,"REF"
2029,"Electricity Generation","Petroleum",2020,"REF"
2030,"Electricity Generation","Petroleum",2020,"REF"
2031,"Electricity Generation","Petroleum",2020,"REF"
2032,"Electricity Generation","Petroleum",2020,"REF"
2033,"Electricity Generation","Petroleum",2020,"REF"
2034,"Electricity Generation","Petroleum",2020,"REF"
2035,"Electricity Generation","Petroleum",2020,"REF"
2036,"Electricity Generation","Petroleum",2020,"REF"
2037,"Electricity Generation","Petroleum",2020,"REF"
2038,"Electricity Generation","Petroleum",2020,"REF"
2039,"Electricity Generation","Petroleum",2020,"REF"
2040,"Electricity Generation","Petroleum",2020,"REF"
2041,"Electricity Generation","Petroleum",2020,"REF"
2042,"Electricity Generation","Petroleum",2020,"REF"
2043,"Electricity Generation","Petroleum",2020,"REF"
2044,"Electricity Generation","Petroleum",2020,"REF"
2045,"Electricity Generation","Petroleum",2020,"REF"
2046,"Electricity Generation","Petroleum",2020,"REF"
2047,"Electricity Generation","Petroleum",2020,"REF"
2048,"Electricity Generation","Petroleum",2020,"REF"
2049,"Electricity Generation","Petroleum",2020,"REF"
2050,"Electricity Generation","Petroleum",2020,"REF"
2019,"Electricity Generation","Pumped Storage/Other",2020,"REF"
2020,"Electricity Generation","Pumped Storage/Other",2020,"REF"
2021,"Electricity Generation","Pumped Storage/Other",2020,"REF"
2022,"Electricity Generation","Pumped Storage/Other",2020,"REF"
2023,"Electricity Generation","Pumped Storage/Other",2020,"REF"
2024,"Electricity Generation","Pumped Storage/Other",2020,"REF"
2025,"Electricity Generation","Pumped Storage/Other",2020,"REF"
2026,"Electricity Generation","Pumped Storage/Other",2020,"REF"
2027,"Electricity Generation","Pumped Storage/Other",2020,"REF"
2028,"Electricity Generation","Pumped Storage/Other",2020,"REF"
2029,"Electricity Generation","Pumped Storage/Other",2020,"REF"
2030,"Electricity Generation","Pumped Storage/Other",2020,"REF"
2031,"Electricity Generation","Pumped Storage/Other",2020,"REF"
2032,"Electricity Generation","Pumped Storage/Other",2020,"REF"
2033,"Electricity Generation","Pumped Storage/Other",2020,"REF"
2034,"Electricity Generation","Pumped Storage/Other",2020,"REF"
2035,"Electricity Generation","Pumped Storage/Other",2020,"REF"
2036,"Electricity Generation","Pumped Storage/Other",2020,"REF"
2037,"Electricity Generation","Pumped Storage/Other",2020,"REF"
2038,"Electricity Generation","Pumped Storage/Other",2020,"REF"
2039,"Electricity Generation","Pumped Storage/Other",2020,"REF"
2040,"Electricity Generation","Pumped Storage/Other",2020,"REF"
2041,"Electricity Generation","Pumped Storage/Other",2020,"REF"
2042,"Electricity Generation","Pumped Storage/Other",2020,"REF"
2043,"Electricity Generation","Pumped Storage/Other",2020,"REF"
2044,"Electricity Generation","Pumped Storage/Other",2020,"REF"
2045,"Electricity Generation","Pumped Storage/Other",2020,"REF"
2046,"Electricity Generation","Pumped Storage/Other",2020,"REF"
2047,"Electricity Generation","Pumped Storage/Other",2020,"REF"
2048,"Electricity Generation","Pumped Storage/Other",2020,"REF"
2049,"Electricity Generation","Pumped Storage/Other",2020,"REF"
2050,"Electricity Generation","Pumped Storage/Other",2020,"REF"
2019,"Electricity Generation","Renewables",2020,"REF"
2020,"Electricity Generation","Renewables",2020,"REF"
2021,"Electricity Generation","Renewables",2020,"REF"
2022,"Electricity Generation","Renewables",2020,"REF"
2023,"Electricity Generation","Renewables",2020,"REF"
2024,"Electricity Generation","Renewables",2020,"REF"
2025,"Electricity Generation","Renewables",2020,"REF"
2026,"Electricity Generation","Renewables",2020,"REF"
2027,"Electricity Generation","Renewables",2020,"REF"
2028,"Electricity Generation","Renewables",2020,"REF"
2029,"Electricity Generation","Renewables",2020,"REF"
2030,"Electricity Generation","Renewables",2020,"REF"
2031,"Electricity Generation","Renewables",2020,"REF"
2032,"Electricity Generation","Renewables",2020,"REF"
2033,"Electricity Generation","Renewables",2020,"REF"
2034,"Electricity Generation","Renewables",2020,"REF"
2035,"Electricity Generation","Renewables",2020,"REF"
2036,"Electricity Generation","Renewables",2020,"REF"
2037,"Electricity Generation","Renewables",2020,"REF"
2038,"Electricity Generation","Renewables",2020,"REF"
2039,"Electricity Generation","Renewables",2020,"REF"
2040,"Electricity Generation","Renewables",2020,"REF"
2041,"Electricity Generation","Renewables",2020,"REF"
2042,"Electricity Generation","Renewables",2020,"REF"
2043,"Electricity Generation","Renewables",2020,"REF"
2044,"Electricity Generation","Renewables",2020,"REF"
2045,"Electricity Generation","Renewables",2020,"REF"
2046,"Electricity Generation","Renewables",2020,"REF"
2047,"Electricity Generation","Renewables",2020,"REF"
2048,"Electricity Generation","Renewables",2020,"REF"
2049,"Electricity Generation","Renewables",2020,"REF"
2050,"Electricity Generation","Renewables",2020,"REF"
